,symbol,StochRSI_K,StochRSI_D,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,RSI,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,Supertrend,st_way,kama,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Cloud_Position,TK_Cross,CPrice,change
0,KRDMD.IS,32.94855944916828,33.77185685734983,-0.08592557455641442,-0.03756889250194906,0.04835668205446536,12.483393091866885,0.08893817422109679,4.6511627906976845,37.101449101965876,37.821451743835205,28.266066339381233,-114.46712510361023,-3.546095992902228,-0.2948827876589701,0.7908168689643568,22.189371054844727,21.93999989827474,24.243359567810018,-1,23.560236575966616,23.84000015258789,26.320000648498535,30.164999961853027,29.5600004196167,,Below_Cloud,Bearish,21.76,-2.4215246636771215
1,CCOLA.IS,0.4996927577531092,4.000249711876513,-0.28018401326148235,-0.38836466270188286,-0.10818064944040054,12.953543590499223,0.019115999110254807,0.4686824562600966,26.009237717807267,35.91044983998532,14.414370359167025,-168.5140985913669,-7.362200629800521,-0.2120060515380658,1.5525711962217865,48.15061878722773,47.0533332824707,51.59722543514248,-1,51.29577517261642,50.47987677462621,51.45911799795857,52.98183908009047,55.12148078504027,,Below_Cloud,Bearish,47.06,-1.4656616415410273
2,BRSAN.IS,13.611312241609468,25.715275163470192,-0.7730487414546661,-1.5932515678317944,-0.8202028263771284,15.138168412711419,-0.01517141212118367,1.006711409395973,42.816639816037636,27.53760366795967,15.715909191334607,-159.65061891102667,-7.050796057619409,-0.21549057403644176,11.450681763510111,314.25836713995943,307.4166666666667,340.632189648266,-1,328.2364737774262,387.75,387.75,378.625,378.625,,Below_Cloud,No_Data,306.5,-1.4469453376205754
3,ARCLK.IS,87.5857030201265,81.80037891936333,0.16355702105976666,0.7388235286315248,0.5752665075717581,10.512023506209475,0.5189601754539245,8.314855875831483,56.04941463213733,45.06121428344674,23.77162869440383,-8.798677480712795,3.075484928711025,-0.08344989416156344,3.5657870095342914,110.71845804024903,110.06666564941406,114.89207519195188,-1,111.62495223487142,117.9000015258789,125.0,139.59999656677246,136.39999771118164,,Below_Cloud,Bearish,110.6,1.3748854262144894
4,HEKTS.IS,14.092993348780212,21.159655515249394,-0.010713512761154231,-0.012771403352475792,-0.00205789059132156,10.172160761861006,0.036436214164302566,0.27726432532347733,54.69757659746669,36.77114194136925,16.792001988868336,-141.7858607310389,-2.006687043082556,-0.002887571447106828,0.08745220142722257,2.9819878651694403,2.93666672706604,3.1975426440670183,-1,3.1389411450199365,3.149999976158142,3.1950000524520874,3.375,3.430000066757202,,Below_Cloud,Bearish,2.93,-1.0135135135135087
5,MIATK.IS,36.433516374447215,45.2355401421846,-0.10901475288585187,0.0009720040694709553,0.10998675695532283,14.158893900327577,-0.03219774034508649,0.14803849000739877,48.97950683618208,32.52948820121663,17.47708945623814,-151.40038621864193,-6.294152610433896,-0.3719275555236687,1.3318098082479075,30.1369575341865,29.486666997273762,33.4210467329547,-1,31.732342868132456,35.95000076293945,40.760000228881836,40.980000019073486,39.71000003814697,,Below_Cloud,Bearish,29.18,-3.2493368700265313
6,ZOREN.IS,37.20308632264926,48.18016646936659,-0.002949650753435876,-0.008432759566195103,-0.005483108812759227,17.263786962455853,0.09234634396400838,0.9146341463414575,41.1977047538602,28.428080914056487,30.851030699658565,-120.5250899671069,-5.647843084138392,-0.2905451931704385,0.08414256891118835,2.9070385370486647,2.859999974568685,3.1192171281905807,-1,3.0400803759207387,3.2950000762939453,3.3899999856948853,3.6150001287460327,3.705000162124634,,Below_Cloud,Bearish,2.84,-1.730103806228378
7,SMRTG.IS,28.981541839679647,35.131354730661094,-0.028156242234030543,-0.07310335929567746,-0.04494711706164692,17.173712032306092,0.13446281131578502,3.7400367872470843,57.49269635940364,30.585724943746648,16.742705004160907,-92.5272896169377,-6.094965822839479,-0.5214823004816734,1.0997176165271452,26.83172435644432,26.97333335876465,29.9197309437818,-1,28.25134090714938,30.960000038146973,32.76000118255615,34.72000026702881,37.109999656677246,,Below_Cloud,Bearish,26.5,-4.949784791965561
8,MAVI.IS,81.60972723385562,88.89527952247464,0.07504410424666108,0.37217220971459797,0.2971281054679369,22.73996440360331,0.7207134357906214,12.130637636080872,62.08502895964943,58.65979974002622,22.309166116874383,72.61086597149611,12.046630228153616,-0.07814095043626096,1.2657711683829926,35.026774381285506,34.72666549682617,32.48259371079822,1,33.46181299657119,31.730321455483917,32.38875813351452,33.65739004057879,33.65739004057879,,Above_Cloud,Bearish,34.6,-1.871809415768566
9,TTRAK.IS,45.66439443124295,55.23748647499585,-1.4461770732039256,1.3181701142130517,2.7643471874169774,10.756844086280875,0.2179531636187995,3.4965034965034967,42.804704375899234,36.054927079827245,19.881100888317757,-85.87699316628719,0.1768346595932803,-0.2797078844235426,15.66499082914297,574.4721095334685,566.5,602.2627614054994,-1,595.0608405218618,608.75,689.5,738.1670960265468,705.2447068657978,,Below_Cloud,Bearish,566.5,-0.7880910683012221
10,EGPRO.IS,1.5968029828248547,9.029439313610586,-0.027457088508006253,-0.08484154414794687,-0.057384455639940615,16.118301584378035,-0.01830389179437157,1.6907764110728987,37.092001856817596,23.71835407105143,35.8733101604578,-163.7104110736902,-9.75369269286255,-0.41559982292006326,0.618439745308985,18.795202967119508,18.37999979654948,20.25567800612368,-1,19.596474558248232,23.150610696939744,23.219015266977056,23.95193991112835,23.94216731733954,,Below_Cloud,Bearish,18.32,-1.7694369973190294
11,AEFES.IS,44.16466135925645,48.25263777023091,-0.010940741094071338,-0.3344736646236868,-0.32353292352961543,15.808448215809367,0.12582023856553917,0.9967751392553603,39.822496236685026,35.036318440930835,22.926542325044576,-113.64028568991995,-6.469379874634296,-0.28364830730793816,4.847206567440196,137.9749467861338,136.16666666666666,150.12273722320214,-1,146.01851409167446,157.9674356101513,158.0666012540012,169.47040273965354,169.47040273965354,,Below_Cloud,Bearish,135.9,0.5177514792899629
12,FROTO.IS,60.24183617624723,56.97109568607422,0.06857353833524828,0.017911329237680462,-0.050662209097567815,13.358586295623432,0.26444266072920825,11.533052039381174,26.886546186092954,40.1327542717642,23.35935312751214,-79.08985028189166,-1.7180148713529528,-0.2123104922647212,3.217824926006522,83.57712767719013,82.76666514078777,90.58228661892178,-1,87.45883083530705,89.8499984741211,97.7750015258789,98.91061087575753,96.3902046860349,,Below_Cloud,Bearish,82.95,-1.2499999999999956
13,ALCAR.IS,13.89121795781493,28.871372394777165,0.44318956374350704,-0.9671355422152175,-1.4103251059587245,22.057406256641478,0.11122816072330785,0.0,33.46567799490256,26.168270426917847,29.63587017022384,-136.41744831982538,-6.520484708597808,-0.4594457831485521,32.375272056211436,832.0750507099392,815.1666666666665,903.121069428591,-1,867.4603785289037,1134.75,1166.372453622781,1008.0538197711003,977.8597476085656,,Below_Cloud,Bearish,810.0,-1.877649909145973
